Permit_Number,Status,Street_Number,Pre_direction,Street_Name,Street_Suffix,Post_Direction,City,State,Zip_code,Work_Type,Use_Code,Added_Date,Issue_Date,Final_Date,Description,Application_Type,Location
1007635,Completed,15520,,NEW HAMPSHIRE,AVE,,SILVER SPRING,MD,20905,DEMOLISH,SINGLE FAMILY DWELLING,9/21/2022,12/7/2022,4/17/2023,,DEMOLITION OR MOVE PERMIT,"15520 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20905
(39.11081, -76.99594)"
988640,Completed,9435,,ROSEHILL,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/1/2022,8/12/2022,5/2/2023,,DEMOLITION OR MOVE PERMIT,"9435 ROSEHILL DR
BETHESDA, MD 20817
(39.011041983, -77.158962012)"
954727,Completed,5212,,CARLTON,ST,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,6/1/2021,7/22/2021,8/11/2022,,DEMOLITION OR MOVE PERMIT,"5212 CARLTON ST
BETHESDA, MD 20816
(38.959326017, -77.121121994)"
971398,Completed,11021,,CHANDLER,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,10/21/2021,2/25/2022,5/11/2022,,DEMOLITION OR MOVE PERMIT,"11021 CHANDLER RD
POTOMAC, MD 20854
(38.997774017, -77.22804197)"
976503,Completed,7123,,FAIRFAX,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,12/6/2021,5/25/2022,9/19/2022,,DEMOLITION OR MOVE PERMIT,"7123 FAIRFAX RD
BETHESDA, MD 20814
(38.981228014, -77.104764961)"
1052867,Finaled,8033,,MACARTHUR,BLVD,,CABIN JOHN,MD,20818,DEMOLISH,SINGLE FAMILY DWELLING,12/8/2023,1/29/2024,5/14/2024,,DEMOLITION OR MOVE PERMIT,"8033 MACARTHUR BLVD
CABIN JOHN, MD 20818
(38.974802992, -77.166268014)"
976869,Completed,7110,,BROXBURN,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/8/2021,2/14/2022,4/12/2022,,DEMOLITION OR MOVE PERMIT,"7110 BROXBURN DR
BETHESDA, MD 20817
(38.98114101, -77.145563959)"
979485,Completed,4521,,DRESDEN,ST,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,1/7/2022,4/22/2022,5/13/2022,,DEMOLITION OR MOVE PERMIT,"4521 DRESDEN ST
KENSINGTON, MD 20895
(39.024694007, -77.090274998)"
985387,Completed,1420,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,DEMOLISH,SINGLE FAMILY DWELLING,3/4/2022,6/13/2022,9/15/2022,This Permit has been finalized,DEMOLITION OR MOVE PERMIT,"1420 BRIGGS CHANEY RD
SILVER SPRING, MD 20905
(39.103577984, -76.983876041)"
994343,Completed,1415,,SMITH VILLAGE,RD,,SILVER SPRING,MD,20904,DEMOLISH,SINGLE FAMILY DWELLING,5/23/2022,10/18/2022,11/17/2022,,DEMOLITION OR MOVE PERMIT,"1415 SMITH VILLAGE RD
SILVER SPRING, MD 20904
(39.072874989, -76.98249596)"
1017712,Completed,9920,,GEORGIA,AVE,,SILVER SPRING,MD,20902,DEMOLISH,MULTIFAMILY DWELLING LOW RISE,1/6/2023,2/21/2023,5/2/2023,,DEMOLITION OR MOVE PERMIT,"9920 GEORGIA AVE
SILVER SPRING, MD 20902
(39.01905701, -77.044288021)"
1014414,Completed,7709,,BARNUM,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/29/2022,2/1/2023,4/25/2023,,DEMOLITION OR MOVE PERMIT,"7709 BARNUM RD
BETHESDA, MD 20817
(39.01042, -77.15771)"
1017733,Completed,2104,,BELVEDERE,BLVD,,SILVER SPRING,MD,20902,DEMOLISH,MULTIFAMILY DWELLING LOW RISE,1/6/2023,2/23/2023,5/2/2023,,DEMOLITION OR MOVE PERMIT,"2104 BELVEDERE BLVD
SILVER SPRING, MD 20902
(39.018857018, -77.044746008)"
1017734,Completed,2106,,BELVEDERE,BLVD,,SILVER SPRING,MD,20902,DEMOLISH,MULTIFAMILY DWELLING LOW RISE,1/6/2023,2/23/2023,5/2/2023,,DEMOLITION OR MOVE PERMIT,"2106 BELVEDERE BLVD
SILVER SPRING, MD 20902
(39.019013005, -77.045456961)"
1011928,Completed,13211,,QUERY MILL,RD,,GAITHERSBURG,MD,20878,DEMOLISH,SINGLE FAMILY DWELLING,11/1/2022,5/3/2023,1/25/2024,,DEMOLITION OR MOVE PERMIT,"13211 QUERY MILL RD
GAITHERSBURG, MD 20878
(39.073547008, -77.284584026)"
948749,Completed,7707,,GERANIUM,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/12/2021,7/1/2021,5/2/2023,,DEMOLITION OR MOVE PERMIT,"7707 GERANIUM ST
BETHESDA, MD 20817
(38.986741001, -77.128130019)"
990570,Completed,8619,,HEMPSTEAD,AVE,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/20/2022,8/23/2022,5/4/2023,,DEMOLITION OR MOVE PERMIT,"8619 HEMPSTEAD AVE
BETHESDA, MD 20817
(38.997530983, -77.116332993)"
1020912,Completed,7708,,SEBAGO,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,2/7/2023,5/2/2023,2/23/2024,,DEMOLITION OR MOVE PERMIT,"7708 SEBAGO RD
BETHESDA, MD 20817
(38.988434984, -77.138842008)"
1021783,Completed,7527,,HAMPDEN,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,2/15/2023,5/1/2023,9/21/2023,,DEMOLITION OR MOVE PERMIT,"7527 HAMPDEN LN
BETHESDA, MD 20814
(38.986226981, -77.109917988)"
979535,Completed,5514,,MCKINLEY,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,1/7/2022,4/1/2022,5/4/2023,,DEMOLITION OR MOVE PERMIT,"5514 MCKINLEY ST
BETHESDA, MD 20817
(38.995955018000075, -77.11311098999994)"
1004425,Completed,8804,,BRIERLY,RD,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,8/20/2022,5/3/2023,5/30/2023,,DEMOLITION OR MOVE PERMIT,"8804 BRIERLY RD
CHEVY CHASE, MD 20815
(38.999363016, -77.069806977)"
1012047,Completed,8500,,BEECH TREE,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/2/2022,5/3/2023,6/2/2023,,DEMOLITION OR MOVE PERMIT,"8500 BEECH TREE RD
BETHESDA, MD 20817
(38.994915997, -77.142295017)"
1023055,Completed,5804,,IPSWICH,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,2/28/2023,5/3/2023,9/24/2023,,DEMOLITION OR MOVE PERMIT,"5804 IPSWICH RD
BETHESDA, MD 20814
(39.017416001, -77.114570028)"
1001165,Completed,4610,,LANDGREEN,ST,,ROCKVILLE,MD,20853,DEMOLISH,SWIMMING POOL - IN GROUND,7/22/2022,11/2/2022,5/1/2023,,DEMOLITION OR MOVE PERMIT,"4610 LANDGREEN ST
ROCKVILLE, MD 20853
(39.079401013, -77.092375)"
1021575,Completed,5833,,CONWAY,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,2/13/2023,3/28/2023,4/27/2023,,DEMOLITION OR MOVE PERMIT,"5833 CONWAY RD
BETHESDA, MD 20817
(39.00645, -77.11756)"
922384,Completed,8614,,MELWOOD,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,8/5/2020,11/5/2020,8/18/2021,,DEMOLITION OR MOVE PERMIT,"8614 MELWOOD RD
BETHESDA, MD 20817
(38.99788, -77.12817)"
993203,Completed,6004,,DELLWOOD,PL,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,5/12/2022,11/7/2022,1/10/2023,,DEMOLITION OR MOVE PERMIT,"6004 DELLWOOD PL
BETHESDA, MD 20817
(38.99234, -77.1212)"
995119,Completed,15719,,QUINCE ORCHARD,RD,,GAITHERSBURG,MD,20878,DEMOLISH,SINGLE FAMILY DWELLING,5/31/2022,7/20/2022,9/6/2022,,DEMOLITION OR MOVE PERMIT,"15719 QUINCE ORCHARD RD
GAITHERSBURG, MD 20878
(39.11415900500003, -77.25259298299994)"
1030433,Open,7817,,EXETER,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,5/8/2023,,,,DEMOLITION OR MOVE PERMIT,"7817 EXETER RD
BETHESDA, MD 20814
(38.98892, -77.10245)"
1030340,Open,7013,,NEVIS,RD,,BETHESDA,MD,20817,DEMOLISH,MISCELLANEOUS STRUCTURE,5/5/2023,,,,DEMOLITION OR MOVE PERMIT,"7013 NEVIS RD
BETHESDA, MD 20817
(38.97987, -77.14671)"
665336,Finaled,4200,,WOOTTENS,LN,,BURTONSVILLE,MD,20866,DEMOLISH,SINGLE FAMILY DWELLING,3/7/2014,12/23/2014,3/25/2024,"DEMO / REBUILD

BOND TRACKING PS15A87410",DEMOLITION OR MOVE PERMIT,"4200 WOOTTENS LN
BURTONSVILLE, MD 20866
(39.106236011, -76.925187966)"
671438,Finaled,4120,,EVERETT,ST,,KENSINGTON,MD,20895,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,5/1/2014,5/20/2014,3/25/2024,Garage Only,DEMOLITION OR MOVE PERMIT,"4120 EVERETT ST
KENSINGTON, MD 20895
(39.019845998, -77.082369019)"
678497,Finaled,7218,,CHESTNUT,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,6/27/2014,8/18/2014,3/25/2024,"DEMO

BOND TRACKING PS14A79553",DEMOLITION OR MOVE PERMIT,"7218 CHESTNUT ST
CHEVY CHASE, MD 20815
(38.982654991, -77.070327996)"
1064043,Open,5304,,WILLARD,AVE,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,3/25/2024,,,,DEMOLITION OR MOVE PERMIT,"5304 WILLARD AVE
CHEVY CHASE, MD 20815
(38.960803998, -77.096826964)"
681517,Finaled,13630,,GEORGIA,AVE,,SILVER SPRING,MD,20906,MOVE,COMMERCIAL MISCELLANEOUS STRUC,7/23/2014,7/23/2014,3/25/2024,MOVING SHED FROM ONE LOCATION TO THE ADDRESS LOCATION ON THIS PERMIT,DEMOLITION OR MOVE PERMIT,"13630 GEORGIA AVE
SILVER SPRING, MD 20906
(39.077598988, -77.07499001)"
1052873,Finaled,7129,,FAIRFAX,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,12/8/2023,2/20/2024,4/10/2024,,DEMOLITION OR MOVE PERMIT,"7129 FAIRFAX RD
BETHESDA, MD 20814
(38.981627998, -77.104905023)"
1064042,Issued,4905,,RIVER,RD,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,3/25/2024,5/8/2024,,,DEMOLITION OR MOVE PERMIT,"4905 RIVER RD
CHEVY CHASE, MD 20815
(38.960685017, -77.096988986)"
994983,Completed,9119,,REDWOOD,AVE,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,5/27/2022,8/9/2022,11/1/2022,,DEMOLITION OR MOVE PERMIT,"9119 REDWOOD AVE
BETHESDA, MD 20817
(39.005386, -77.148343985)"
657434,Finaled,6328,,BROAD,ST,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,12/9/2013,3/24/2014,3/26/2024,Rebuild,DEMOLITION OR MOVE PERMIT,"6328 BROAD ST
BETHESDA, MD 20816
(38.94229399, -77.120437025)"
1064319,Open,7604,,HEMLOCK,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,3/26/2024,,,,DEMOLITION OR MOVE PERMIT,"7604 HEMLOCK ST
BETHESDA, MD 20817
(38.985481997, -77.129186977)"
1030715,Completed,6408,,CAMROSE,TER,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,5/10/2023,7/7/2023,4/10/2024,,DEMOLITION OR MOVE PERMIT,"6408 CAMROSE TER
BETHESDA, MD 20817
(39.018203984, -77.130018965)"
1027430,Completed,11901,,STONEY CREEK,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,4/11/2023,5/19/2023,12/26/2023,,DEMOLITION OR MOVE PERMIT,"11901 STONEY CREEK RD
POTOMAC, MD 20854
(39.049425986, -77.258962978)"
1031402,Completed,11820,,GAINSBOROUGH,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,5/16/2023,7/20/2023,7/31/2023,,DEMOLITION OR MOVE PERMIT,"11820 GAINSBOROUGH RD
POTOMAC, MD 20854
(39.050096999, -77.156769977)"
1015924,Completed,813,,BONIFANT,ST,,SILVER SPRING,MD,20910,DEMOLISH,SINGLE FAMILY DWELLING,12/14/2022,3/17/2023,5/15/2023,,DEMOLITION OR MOVE PERMIT,"813 BONIFANT ST
SILVER SPRING, MD 20910
(38.995769987, -77.021856037)"
947706,Finaled,5408,,FALMOUTH,RD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,4/2/2021,5/13/2021,5/12/2023,,DEMOLITION OR MOVE PERMIT,"5408 FALMOUTH RD
BETHESDA, MD 20816
(38.95570901600007, -77.10786098499995)"
1021158,Completed,11318,,CUSHMAN,RD,,ROCKVILLE,MD,20852,DEMOLISH,SINGLE FAMILY DWELLING,2/8/2023,9/5/2023,12/5/2023,The permit is linked to BUILDING RESIDENTIAL PERMIT 1021155.,DEMOLITION OR MOVE PERMIT,"11318 CUSHMAN RD
ROCKVILLE, MD 20852
(39.04042202, -77.133526037)"
1018021,Completed,5406,,MOORLAND,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,1/10/2023,5/18/2023,8/1/2023,,DEMOLITION OR MOVE PERMIT,"5406 MOORLAND LN
BETHESDA, MD 20814
(38.98554, -77.108271027)"
1031644,Completed,7009,,AMY,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,5/18/2023,9/12/2023,2/23/2024,,DEMOLITION OR MOVE PERMIT,"7009 AMY LN
BETHESDA, MD 20817
(38.987385989, -77.143567976)"
1018298,Completed,7608,,HEMLOCK,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,1/11/2023,2/17/2023,5/10/2023,,DEMOLITION OR MOVE PERMIT,"7608 HEMLOCK ST
BETHESDA, MD 20817
(38.985845018, -77.129357968)"
1023749,Completed,6405,,DAHLONEGA,RD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,3/7/2023,5/22/2023,6/15/2023,,DEMOLITION OR MOVE PERMIT,"6405 DAHLONEGA RD
BETHESDA, MD 20816
(38.966070013, -77.129617975)"
972596,Finaled,16601,W,WILLARD,RD,,POOLESVILLE,MD,20837,DEMOLISH,ASSEMBLY BUILDING,11/1/2021,12/14/2021,5/19/2023,CLUBHOUSE/FACILITY,DEMOLITION OR MOVE PERMIT,"16601 WILLARD W RD
POOLESVILLE, MD 20837
(39.1271, -77.42429)"
983660,Completed,6215,,STARDUST,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,2/16/2022,5/11/2022,5/10/2023,,DEMOLITION OR MOVE PERMIT,"6215 STARDUST LN
BETHESDA, MD 20817
(38.973700017000056, -77.12656302199997)"
1030779,Issued,20700,,SABBATH,CT,,GAITHERSBURG,MD,20882,DEMOLISH,SINGLE FAMILY DWELLING,5/10/2023,6/22/2023,,,DEMOLITION OR MOVE PERMIT,"20700 SABBATH CT
GAITHERSBURG, MD 20882
(39.195633996000026, -77.18149097499997)"
1027730,Completed,6710,,WILSON,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/13/2023,5/19/2023,6/12/2023,,DEMOLITION OR MOVE PERMIT,"6710 WILSON LN
BETHESDA, MD 20817
(38.985082013, -77.135409032)"
1031866,Completed,8615,,HEMPSTEAD,AVE,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,5/21/2023,7/25/2023,8/7/2023,,DEMOLITION OR MOVE PERMIT,"8615 HEMPSTEAD AVE
BETHESDA, MD 20817
(38.997194995, -77.11641698)"
1031027,Issued,1110,,EAST WEST,HWY,,SILVER SPRING,MD,20910,DEMOLISH,BUSINESS BUILDING,5/12/2023,8/30/2023,,,DEMOLITION OR MOVE PERMIT,"1110 EAST WEST HWY
SILVER SPRING, MD 20910
(38.988457992, -77.028258972)"
1018511,Completed,9508,,PAGE,AVE,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,1/13/2023,4/17/2023,5/16/2023,,DEMOLITION OR MOVE PERMIT,"9508 PAGE AVE
BETHESDA, MD 20814
(39.012622013, -77.111161024)"
1031583,Issued,6433,,79TH,ST,,CABIN JOHN,MD,20818,DEMOLISH,SINGLE FAMILY DWELLING,5/17/2023,10/25/2023,,,DEMOLITION OR MOVE PERMIT,"6433 79TH ST
CABIN JOHN, MD 20818
(38.97409799, -77.16269397)"
1017789,Completed,4913,,AURORA,DR,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,1/6/2023,3/3/2023,5/17/2023,,DEMOLITION OR MOVE PERMIT,"4913 AURORA DR
KENSINGTON, MD 20895
(39.035738003, -77.098360014)"
1022332,Completed,18465,,BROOKE,RD,,SANDY SPRING,MD,20860,DEMOLISH,SINGLE FAMILY DWELLING,2/21/2023,5/16/2023,11/9/2023,"Condemned home, demolition required",DEMOLITION OR MOVE PERMIT,"18465 BROOKE RD
SANDY SPRING, MD 20860
(39.158261981, -77.034955023)"
1031225,Completed,10010,,FLEMING,AVE,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,5/15/2023,9/26/2023,11/29/2023,,DEMOLITION OR MOVE PERMIT,"10010 FLEMING AVE
BETHESDA, MD 20814
(39.02097898, -77.111983959)"
664120,Finaled,14073,,TRAVILAH,RD,,ROCKVILLE,MD,20850,DEMOLISH,SINGLE FAMILY DWELLING,2/24/2014,11/4/2014,3/26/2024,Rebuild,DEMOLITION OR MOVE PERMIT,"14073 TRAVILAH RD
ROCKVILLE, MD 20850
(39.085262017, -77.222671014)"
1053487,Open,18111,,BOWIE MILL,RD,,ROCKVILLE,MD,20853,DEMOLISH,SINGLE FAMILY DWELLING,12/14/2023,,,DEMOLITION/REBUILD,DEMOLITION OR MOVE PERMIT,"18111 BOWIE MILL RD
ROCKVILLE, MD 20853
(39.152322984, -77.096613979)"
1027390,Completed,7609,,MARBURY,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/10/2023,5/23/2023,6/14/2023,,DEMOLITION OR MOVE PERMIT,"7609 MARBURY RD
BETHESDA, MD 20817
(38.987622987000066, -77.12203302299997)"
1053458,Open,11717,,PINEY MEETINGHOUSE,RD,,POTOMAC,MD,20854,DEMOLISH,SHED,12/14/2023,,,,DEMOLITION OR MOVE PERMIT,"11717 PINEY MEETINGHOUSE RD
POTOMAC, MD 20854
(39.046728019, -77.232797023)"
1053286,Finaled,6105,,BERKSHIRE,DR,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,12/13/2023,1/31/2024,3/8/2024,,DEMOLITION OR MOVE PERMIT,"6105 BERKSHIRE DR
BETHESDA, MD 20814
(39.024164984, -77.122406018)"
1053482,Finaled,4557,S,CHELSEA,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,12/14/2023,1/26/2024,3/8/2024,,DEMOLITION OR MOVE PERMIT,"4557 CHELSEA S LN
BETHESDA, MD 20814
(38.994411993, -77.09179296)"
992647,Completed,4414,,COLFAX,ST,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,5/8/2022,6/23/2022,5/30/2023,,DEMOLITION OR MOVE PERMIT,"4414 COLFAX ST
KENSINGTON, MD 20895
(39.027812997, -77.086556031)"
1032337,Issued,5025,,EDGEMOOR,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,5/24/2023,2/12/2024,,,DEMOLITION OR MOVE PERMIT,"5025 EDGEMOOR LN
BETHESDA, MD 20814
(38.98496299, -77.099974033)"
1025533,Finaled,8101,,MACARTHUR,BLVD,,CABIN JOHN,MD,20818,DEMOLISH,SINGLE FAMILY DWELLING,3/22/2023,5/26/2023,4/2/2024,,DEMOLITION OR MOVE PERMIT,"8101 MACARTHUR BLVD
CABIN JOHN, MD 20818
(38.974801986, -77.166892969)"
997367,Completed,8516,,MEADOWLARK,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,6/20/2022,10/3/2022,6/1/2023,,DEMOLITION OR MOVE PERMIT,"8516 MEADOWLARK LN
BETHESDA, MD 20817
(38.995276, -77.138974023)"
1032280,Open,2618,,COLSTON,DR,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,5/24/2023,,,,DEMOLITION OR MOVE PERMIT,"2618 COLSTON DR
CHEVY CHASE, MD 20815
(38.99242, -77.05285)"
1002444,Completed,6904,,OAKRIDGE,AVE,,CHEVY CHASE,MD,20815,DEMOLISH,SHED,8/3/2022,9/29/2022,11/4/2022,,DEMOLITION OR MOVE PERMIT,"6904 OAKRIDGE AVE
CHEVY CHASE, MD 20815
(38.97962899800007, -77.08602403199995)"
1020739,Completed,6405,,LONE OAK,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,2/6/2023,4/19/2023,6/7/2023,,DEMOLITION OR MOVE PERMIT,"6405 LONE OAK DR
BETHESDA, MD 20817
(39.020482981, -77.129673966)"
